CIN,Company Name,Status
U68200MP2023PTC068436,PARADISE ACRES PRIVATE LIMITED,Active
U74999MH2019PTC319585,MIRSAE PRIVATE LIMITED,Active
U74999TN2019PTC126912,XCEL PERSONNEL SERVICES INDIA PRIVATE LIMITED,Active
U72900TG2019PTC129791,HASOF SOLUTIONS PRIVATE LIMITED,Active
U74999TG2019PTC129845,GIDE NETWORK PRIVATE LIMITED,Active
U51909MH2007PTC311785,BRILLIANT AGENCIES PRIVATE LIMITED,Active
U72900TN2018PTC120493,SWAST INNOVATIONS PRIVATE LIMITED,Active
U72100MH2019PLC321276,OLIVEOWL TECHNOLOGIES LIMITED,Active
U74999UP2019PTC114372,AYDA SKY HANDMADE PRIVATE LIMITED,Active
U72900TG2019PTC131086,GRANULARIT SYSTEMS PRIVATE LIMITED,Active
U72900TN2019PTC127985,VODIN TECHNOLOGIES PRIVATE LIMITED,Active
U93090BR2019OPC041292,PUSHPA DEVI ACCOMMODATIONS (OPC) PRIVATE LIMITED,Active
U24110TG1983PLC004352,RAASI SYNTHETICS AND CHEMICALS LIMITED,Active
U27107BR1988PTC003117,AMS STEEL INDUSTRIAL ENTERPRISES PRIVATE LIMITED,Active
U51909GJ1991PTC015717,DEVESH PATHAK PROFESSIONAL SOLUTIONS PRIVATE LIMITED,Active
U72400KA1991PTC012127,FAXON INFORMATICS PRIVATE LIMITED,Active
U17114KA1994PTC016647,KRISHNA KRISHNA KNITWORLD PRIVATE LIMITED,Active
U72200GJ2000PTC038222,BIMSYM EBUSINESS SOLUTIONS PRIVATE LIMITED,Active
U05150KA2005PTC036772,ALPHA SOURCE TRADING PRIVATE LIMITED,Active
U63040KA2004PTC033942,HALCYON WHEELS PRIVATE LIMITED,Active
U27106CT1960PLC000904,HIMMAT STEEL FOUNDRY LTD,Active
U51909OR2022PTC040789,SUPERSEUPAR TRADING PRIVATE LIMITED,Active
U45400PN2022PTC214815,SIMIN INFRATECH PRIVATE LIMITED,Active
U30009MH1991PTC060113,INTELLIGENT AUTOMATION SYSTEMS PRIVATE LIMITED,Active
U56290KL2025PTC091469,VAKO CONVENIENCE STORES PRIVATE LIMITED,Active
U21010MH1993PTC074614,BEAUTY PAPER HOUSE P LTD,Active
U55101HP2022PTC009577,GRAM RACHNA PRIVATE LIMITED,Active
U45201RJ1977PTC001728,JAGDISH PRASAD RAMAWTAR PRIVATE LIMITED,Active
U29255TN1991PTC021687,KRISHNA PROCESS EQUIPMENTS PRIVATE LIMITED,Active
U23209TN2003PTC051645,DECCAN BITUMEN PRODUCTS PRIVATE LIMITED,Active
U28221WB1958PTC023869,IMPERIAL CALENDAR CO PVT LTD,Active
U70109WB1997PTC082962,UTTAM HIGHRISE PRIVATE LIMITED,Active
U24231GA2002PTC003110,COLORCON PHARMACEUTICALS SERVICES PRIVATE LIMITED,Active
U72900WB2004PTC100645,KOUSHIK CREATIVE SOFTWARE PVT LTD,Active
U25199PN2000PTC014820,SHRIPAD RUBBER PRODUCTS PRIVATE LIMITED,Active
U74899DL1975PTC007795,SARNA PRIVATE LIMITED,Active
U74899DL1985PTC021797,EVERSHINE ELECTRONIC PRIVATE LIMITED,Active
U74899DL1990PTC039800,EASE CONSULTANT ENGINEERS PRIVATE LIMITED,Active
U74899DL1994PTC062895,AGGARWAL CABLES PRIVATE LIMITED,Active
U72900DL2000PTC106625,VIRTUAL XPORT GATEWAY PRIVATE LIMITED,Active
U63040DL1998PTC096328,TRANS MERIDIAN TRAVELS PRIVATE LIMITED.,Active
U27106DL2000PTC108418,ROSHAN LAL AND CO PRIVATE LIMITED,Active
U92132DL2000PTC104477,ICON PRODUCTIONS PRIVATE LIMITED,Active
U65921DL1997PTC089994,C P MEDIA SERVICES PRIVATE LIMITED,Active
U63090DL2003PTC121260,MAKKAR TRANSPORT PRIVATE LIMITED.,Active
U31909HR2000PTC034506,DEW ENERGY SERVICES PRIVATE LIMITED,Active
U15400MH2022PTC391244,WELLEXLY AGRO PRIVATE LIMITED,Active
U99999MH1990PTC058733,SHRI DEVJI AGRO INDUSTRIES PRIVATE LIMITED,Active
U25209PB2002PTC025542,UNNATI AGRICULTURE PUMPS PRIVATE LIMITED,Active
U70102MH2007PTC174493,NAVKAR REALTOR PRIVATE LIMITED,Active
U63999AS2025PTC027504,BM TECH LABS PRIVATE LIMITED,Active
U45203TG2008PTC057551,JUBILEE INFRAPROJECTS PRIVATE LIMITED,Active
U72300DL2008PTC172162,NEELGAGAN COMPUTER STATIONERY PRIVATE LIMITED,Active
U45400WB2007PTC115506,ABS NIRMAN PRIVATE LIMITED,Active
U74950MH2007PTC171489,PRIMARK LABELS PRIVATE LIMITED,Active
U72300TN2008PTC066223,SPINACH TECHNOLOGIES INDIA PRIVATE LIMITED,Active
U72100TG2008PTC057547,NEXII AUTOMATION LABS PRIVATE LIMITED,Active
U17291DL2007PTC172028,IMPETUS ACADEMIC SERVICES PRIVATE LIMITED,Active
U34300KA2006PTC038438,NASH METALSHEETS PRIVATE LIMITED,Active
U45201KA2006PTC038891,FINE LINE CONSTRUCTIONS (INDIA) PRIVATE LIMITED,Active
U55101KL2008PTC023271,VILLE AMIS RESORTS AND TOURISM PRIVATE LIMITED,Active
U51109GJ2008PTC055124,SANKUL TEXTILES PRIVATE LIMITED,Active
U52602GJ2008PTC055474,VEENA TRADELINK PRIVATE LIMITED,Active
U10300WB2008PTC130559,SHREE ASHTAVINAYAK MINERALS PRIVATE LIMITED,Active
U74899DL2005PTC143294,FOURSTARS DEVELOPERS PRIVATE LIMITED,Active
U86900MH2025PTC438397,AETERNA LIFESTYLE PRIVATE LIMITED,Active
U74990MH2010PTC201832,AUGMENTIV KNOWLEDGE SERVICES PRIVATE LIMITED,Active
U80903GJ2010PTC060806,GET-WAY COACHING PRIVATE LIMITED,Active
U72200MP2010PTC024510,MANGAL INFOSYSTEM PRIVATE LIMITED,Active
U28112TG2010PLC071958,VELJAN SHLCAST LIMITED,Active
U40108WB2011PTC157479,ABHYUDAYA POWER PRIVATE LIMITED,Active
U15311CT2009PTC021454,RAMPURIA RICE MILL PRIVATE LIMITED,Active
U45201RJ2009PTC030435,MARS LANDMART PRIVATE LIMITED,Active
U67100MH2009PTC251860,FIDELIS CAPITAL MARKET (INDIA) PRIVATE LIMITED,Active
U92130GJ2011PTC064655,PRIME NEWS NETWORK PRIVATE LIMITED,Active
U74900MH2011PTC213764,TAKASOVI IMPEX PRIVATE LIMITED,Active
U45400UP2011PTC044558,COMPETENT INFRAESTATES PRIVATE LIMITED,Active
U21020TG2011PTC074487,SAI KARUNA CORRUGATED BOXES PRIVATE LIMITED,Active
U72900PN2011PTC139920,A PLUS A DESIGN PRIVATE LIMITED,Active
U72200GJ2009PTC057428,OSI NETWORKS PRIVATE LIMITED,Active
U85100MH2009PTC193574,DR. PANKAJ NARAM'S SANJEEVANI INDIA PRIVATE LIMITED,Active
U70200TN2012PTC085115,SRR METALL PRIVATE LIMITED,Active
U14200WB2012PTC176024,VAPURDA MINING PRIVATE LIMITED,Active
U28112GJ2012PTC071682,FIRE TECH HEATING SYSTEMS PRIVATE LIMITED,Active
U74140DL2012PTC238354,SHOTVISION ONLINE PRIVATE LIMITED,Active
U72900KA2012PTC063009,CORDINAL TECH SOLUTION PRIVATE LIMITED,Active
U52190WB2012PTC184984,ANANTADRISTI VINCOM PRIVATE LIMITED,Active
U51101MH2013PTC242439,NARMADA OPTICIANS PRIVATE LIMITED,Active
U45400DL2013PTC250161,AXIOM INFRATECH PRIVATE LIMITED,Active
U74900WB2012PTC187768,SIDDHIMHUMI MERCHANTS PRIVATE LIMITED,Active
U74900MH2012PTC237273,TECHWHIZ ENTERPRISES PRIVATE LIMITED,Active
U74900WB2013PLC189847,ANIVARTI ADVISORS LMITED,Active
U52300DL2011PTC226595,DERMACY HEALTHCARE PRIVATE LIMITED,Active
U93000DL2012PTC231713,ANSHRAJ CONSULTANCY SERVICES PRIVATE LIMITED,Active
U45400MH2012PTC236400,ACCORD SUPERSTRUCTURES PRIVATE LIMITED,Active
U14200WB2012PTC185204,SUMUKHA MINMET PRIVATE LIMITED,Active
U74900WB2012PTC186668,PREMIO DISTRIBUTORS PRIVATE LIMITED,Active
U52300HR2011PTC044322,NH TOOLS PRIVATE LIMITED,Active
U92140PN2011PTC141163,MAULI SABHAGRUH PRIVATE LIMITED,Active
U52190WB2012PTC185028,LAXMIPUTRA SUPPLIERS PRIVATE LIMITED,Active
U14200WB2012PTC185107,VIKAT MINING PRIVATE LIMITED,Active
U14200WB2012PTC185205,SIDDHIPRIYA MINING PRIVATE LIMITED,Active
U45208GJ2012PTC071750,MOONLIGHT REALESTATE PRIVATE LIMITED,Active
U74140DL2014PTC271735,SDR TRADE EXIM PRIVATE LIMITED,Active
U74900MH2012PTC234884,DPD MEDIA PRIVATE LIMITED,Active
U85195TG2014PTC095651,FORNIX MEDICAL PRIVATE LIMITED,Active
U36101MH2011PTC220874,NAGI FLAGS MANUFACTURERS PRIVATE LIMITED,Active
U72900KA2011PTC060062,CS COMMUNICATION AND SYSTEMS INDIA PRIVATE LIMITED,Active
U51310MP2013PTC031458,AUTOMATION TEXTILE SERVICES PRIVATE LIMITED,Active
U74999MH2014FTC255905,WOLVERINE WORLDWIDE BRANDS PRIVATE LIMITED,Active
U01403WB2011PTC168176,SOSPITAS NATURAL PRODUCTS PRIVATE LIMITED,Active
U63000DL2011PTC224833,GET TOGETHER TOURS PRIVATE LIMITED,Active
U74999DL2011FTC223515,DNV GL POWER TIC INDIA PRIVATE LIMITED,Active
U74140KL2011PTC028947,RELIGANT CONSULTANCY SERVICES PRIVATE LIMITED,Active
U80903AS2013PTC011671,TRANS INSTITUTE OF TECHNOLOGY PRIVATE LIMITED,Active
U01400MH2013PTC249856,SHREEJEE EXOTICA GREENS PRIVATE LIMITED,Active
U74900WB2013PLC193163,DYUTIDHAR SUPPLIERS LIMITED,Active
U85120AP2013PTC086951,SINDHURA ENTERPRISES PRIVATE LIMITED,Active
U51500MH2005PTC155745,HIRAHVAC TRADELINKS PRIVATE LIMITED,Active
U74300MH2003PTC143659,INOWAYS DISPLAY SERVICES PRIVATE LIMITED,Active
U29253TG2015PTC097120,VELJAN PNEUMATICS PRIVATE LIMITED,Active
U37100MH2014PTC259016,PRIMETECH E-WASTE MANAGEMENT PRIVATE LIMITED,Active
U51101MH2003PTC141197,MANISHA GREEN FIELDS PRIVATE LIMITED,Active
U45200MH2004PTC145604,ETERNITY CONSTRUCTION PRIVATE LIMITED,Active
U29253KA2014FTC076614,MATRIX VISION INDIA PRIVATE LIMITED,Active
U74120MH2014PTC255315,DILIP GHOSH PRODUCTIONS PRIVATE LIMITED,Active
U74900MH2013PTC241130,VEDICURE NUTRACEUTICALS AND HERBALS PRIVATE LIMITED,Active
U18204DL2007PTC165037,NIJHAWAN DESIGNS PRIVATE LIMITED,Active
U70200TG2013PTC090547,SWASUDHA INFRASTRUCTURE PRIVATE LIMITED,Active
U74900WB2014PLC201341,AHARNISH COMMERCE LIMITED,Active
U72900RJ2014PTC044941,OPTIMUM TECHSYS PRIVATE LIMITED,Active
U74999MH2014PTC255005,SPIRITUAL ZONE PRIVATE LIMITED,Active
U74900WB2014PLC201436,BHAYNASHAN SUPPLIERS LIMITED,Active
U52100WB2014PTC200302,PRAYAS EXPOLINE PRIVATE LIMITED,Active
U63040GJ2006PTC048784,ARIZONA HOLIDAYS PRIVATE LIMITED,Active
U45204TZ2006PTC013087,AIR VAOICE TELESYSTEMS AND INFRASTRUCTURE PRIVATE LIMITED.,Active
U72200KA2007PTC042957,TES ELECTRONIC SOLUTIONS (INDIA) PRIVATE LIMITED,Active
U19119MH2015PTC269504,INTERO MODA FASHION PRIVATE LIMITED,Active
U72900RJ2015PTC048507,EARAN TECHNO SOLUTION PRIVATE LIMITED,Active
U72300UP2016PTC076450,ZENEVA TECH PRIVATE LIMITED,Active
U27100MP2016PTC035289,A.S. METALOYS INDIA PRIVATE LIMITED,Active
U74900KA2016PTC086012,SCIENCE ASHRAM EDUCATION & RESEARCH PRIVATE LIMITED,Active
U74120MH2015PTC270778,FINNOVITI CONSULTING PRIVATE LIMITED,Active
U60231WB2015PTC207853,PINGAAKSH PARIVAHAN SEVA PRIVATE LIMITED,Active
U74900MH2015PTC269023,VAK IMAGE CONSULTANTS PRIVATE LIMITED,Active
U72300TZ2015PTC021622,LAYER37 NETWORK TECHNOLOGIES PRIVATE LIMITED,Active
U74999WB2011PTC171143,READY AGENCY PRIVATE LIMITED,Active
U74999WB2011PTC171159,AROHI RETAILORS PRIVATE LIMITED,Active
