CIN,Company Name,Status
U55101TN2021PTC142787,COCONUT SHELL RESTAURANTS PRIVATE LIMITED,Active
U93090DL2019PTC344125,AAVISHREY CORPORATE SOLUTIONS PRIVATE LIMITED,Active
U80904DL2018PTC336389,NARENDRA DEV COACHING CLASSES PRIVATE LIMITED,Active
U27109PB2019PTC048970,ISPAGRADE METALS PRIVATE LIMITED,Active
U52609WB2018PTC224312,LOOKZIVI ONLINE SERVICES PRIVATE LIMITED,Active
U85310PN2019OPC181689,MEDINFINITE HEALTH SERVICES (OPC) PRIVATE LIMITED,Active
U51909MH2018PTC311803,FREESOULSISTAS PRIVATE LIMITED,Active
U74999MH2018OPC304212,ARBO MARKETING & TRADING (OPC) PRIVATE LIMITED,Active
U72200KA2019PTC120914,SILENTFLOOR TECHNOLOGIES PRIVATE LIMITED,Active
U74999MH2018PTC304361,PRECISE INTELLECTUAL HUB PRIVATE LIMITED,Active
U40100TN2015PTC103245,SHERISHA BIKANER SOLAR POWER PRIVATE LIMITED,Active
U85100TG2019PTC130616,IVYLEAF HOSPITAL PRIVATE LIMITED,Active
U50400HR2019PTC079058,PADMINI DIESEL EMISSION CONTROL PRIVATE LIMITED,Active
U01820KA2018PTC109816,SOUTHERN GOURMET INDIA PRIVATE LIMITED,Active
U80904GJ2019PTC108550,KACHHUA TECHNOLOGIES PRIVATE LIMITED,Active
U70102AP1995PTC021234,SREE & SHANTI AVENUES PRIVATE LIMITED,Active
U45200TG1992PLC014486,YANAM INFRASTRUCTURE LIMITED,Active
U55101TG1980PTC002757,MOGUL HOTELS PVT LTD,Active
U72200TG2001PTC037982,VIMUKTI TECHNOLOGIES PRIVATE LIMITED,Active
U45200TG2004PTC042985,Y.R. CONSTRUCTIONS PRIVATE LIMITED,Active
U26931DL2022PTC404177,BRICKBUDS INDIA PRIVATE LIMITED,Active
U65990KL2022PLN077801,KARTHIKAPPALLY DTCRE NIDHI LIMITED,Active
U85110AP1997PTC028529,MADANAPALLE HOSPITALS PRIVATE LIMITED,Active
U72900DL2022OPC404252,AESTARMART ELECTRO GAMING SOLUTIONS (OPC) PRIVATE LIMITED,Active
U72200GJ1999PTC036564,KRIMISH INFOTECH PRIVATE LIMITED,Active
U23209GJ1995PTC024105,SHRI RAM DIESEALS PVT LTD,Active
U24231KA1980PTC003763,MEDIX PHARMACEUTICALS PRIVATE LIMITED,Active
U72900GJ2005PTC046250,INTEGRATED ROADMASTER INFORMATION SERVICES PRIVATE LIMITED,Active
U51909TG2022PTC166576,AL TANZEES INTERNATIONAL PRIVATE LIMITED,Active
U00892KA1995PTC018847,SOFT-AID SERVICES PRIVATE LIMITED,Active
U51505KA1992PTC012873,INGENIOUS TECHNOLOGIES (INDIA) PRIVATE LIMITED,Active
U45205KA1992PTC013165,PEARSON BUILDERS PRIVATE LIMITED,Active
U51102KA1999PTC025227,SRI GOMAT STARAGENCIES PRIVATE LIMITED,Active
U24243KA1998PTC023324,N.K.HYGIENE PRIVATE LIMITED,Active
U52203KL1992PTC006474,NMRAS EXPORTS INDIA PVT LTD,Active
U65992KL1992PTC006551,PALLATH FINANCE AND CHITS PVT LTD,Active
U02001KL1995PTC009385,LANDAIRE ESTATES PRIVATE LIMITED,Active
U18101KA2001PTC029749,GAYLORD MACHINERY PRIVATE LIMITED,Active
U26931MP2001PTC014553,SAKAR FOAM BRICKS PRIVATE LIMITED,Active
