CIN,Company Name,Status
U72200TG2021PTC150549,KHEYEH SYSTEMS INDIA PRIVATE LIMITED,Active
U72900KA2019OPC120359,PYZA LABS INDIA (OPC) PRIVATE LIMITED,Active
U80302HR2019PTC078064,ADVANCE EDULOGY PRIVATE LIMITED,Active
U72900HR2018PTC072274,RSC SOFTWARE LABS PRIVATE LIMITED,Active
U74999HR2019PTC078312,YAA INFRATECH PRIVATE LIMITED,Active
U52609HR2019PTC078696,YAA AUTOMOBEX PRIVATE LIMITED,Active
U74999HR2019PTC078941,HT LOGISTICS PRIVATE LIMITED,Active
U40106AP1986PTC006129,ELITE PROCON SOLUTIONS PRIVATE LIMITED,Active
U45200TG2004PTC042984,LAKSHMI SANHITH CONSTRUCTIONS PRIVATE LIMITED,Active
U72900RJ2022PTC083618,SUIWAL TECHNOLOGY PRIVATE LIMITED,Active
U52609HR2022PTC106445,VJRG INDIA PRIVATE LIMITED,Active
U45309TZ2022PTC039880,SQUARE EDGE INFRATECH PRIVATE LIMITED,Active
U15499GJ1986PTC008731,SUN FOODS PRIVATE LIMITED,Active
U27104AS1994PLC004201,B N FABRICATORS LIMITED,Active
U45202AS1999PTC005815,EXPLORATION TECHNOLOGY INDIA PRIVATE LIMITED,Active
U74999HR2022PTC106529,SOCIAL SPONGE PRIVATE LIMITED,Active
U67190HR1996PTC033114,SHREE CHINTAMANI FINVEST PVT LTD,Active
U45400KA1991PTC011626,JERMONICA HOUSING & INFRASTRUCTURE PRIVATE LIMITED,Active
U72900KA1999PTC025545,RCS EDUCATION PRIVATE LIMITED,Active
U15209KA1989PTC009910,SIDDHARTA ICE-CREAMS PRIVATE LIMITED,Active
U72900KA2022PTC166333,SONICBOOM SERVICES PRIVATE LIMITED,Active
U72900KA2004PTC033752,BIZMENTORS PRIVATE LIMITED,Active
U74140MP1995PLC010063,PITAMBRA CORPORATE CONSULTANCY LIMITED,Active
U70100HR2022PTC106638,OAHFEO VENTURES PRIVATE LIMITED,Active
U72900UP2022OPC170943,MELADUNIX (OPC) PRIVATE LIMITED,Active
U28939PB1992PTC012670,PASHUPATI STEELS INDIA PRIVATE LIMITED,Active
U27107RJ1994PTC008571,MAHESH METALS PRIVATE LIMITED,Active
U24232RJ2003PTC018384,SAIBLISS HEALTH CARE PRIVATE LIMITED,Active
U17219CH1995PTC015697,GIANI TEXTILES PVT LTD,Active
U74899DL1990PTC039001,MT. ABU RESORTS PRIVATE LIMITED,Active
U74899DL1994PTC058627,G D COMPUTERS PRIVATE LIMITED,Active
U74899DL1993PTC055949,SRJ AND ASSOCIATES PRIVATE LIMITED,Active
U74899DL1995PTC068346,SEAROCK SECURITIES PRIVATE LIMITED,Active
U51909DL1995PTC071332,TANEJA MINES PRIVATE LIMITED,Active
U74140DL1997PTC086967,RESOLUTION CONSULTANCY SERVICES PRIVATE LIMITED,Active
U74920DL2003PTC123218,ABACUS SECURITY SERVICES PRIVATE LIMITED,Active
U18101DL2004PTC129181,MAHESHWARI CREATIONS PRIVATE LIMITED,Active
U51909DL2002PTC117817,SAJAG TECHNOLOGIES PRIVATE LIMITED,Active
U74140DL2005PTC141359,DESMACON DESIGN AND MARKETING CONSULTANTS PRIVATE LIMITED,Active
U28939TZ1970PLC000617,SOUTHERN PRESS TOOLS LIMITED,Active
U71210DL2007PTC165922,TECHNOAPEX SOFTWARE PRIVATE LIMITED,Active
U85100GA2007PTC005282,FITNESS INNOVATION TECHNOLOGIES PRIVATE LIMITED,Active
U40300DL2008PLC172487,INDUS GAS TRANSMISSION LIMITED,Active
U72900DL2007PTC163372,FORTUNE TECHNOPARKS PRIVATE LIMITED,Active
U74140KA2007PTC044395,STRATOS MANAGEMENT SERVICES PRIVATE LIMITED,Active
U34300TN2008PTC067209,PRECISION STEELS TURNED PARTS PRIVATE LIMITED,Active
U52110TZ2006PLC012945,ABT FOODS RETAILING (INDIA) LIMITED,Active
U40109KA2001PTC028637,SUNTRAC ENERGY SYSTEMS PRIVATE LIMITED,Active
U01405GJ2008PTC054682,DHANRAJ COTTON PRIVATE LIMITED,Active
U74900KA2009PTC049394,TRANSCENDENZ MARKTECH CONSULTANCY SERVICES (INDIA) PRIVATE LIMITED,Active
U74900DL2009PTC189982,FIRSTCORP INVESCO PRIVATE LIMITED,Active
U00000DL2001PTC109984,DREAM TECH EXPORTS PRIVATE LIMITED,Active
U14294RJ2022PTC084043,STONVERSE DRC MARKETPLACE PRIVATE LIMITED,Active
U74992DL2010PTC198540,JITIN AGRO PRODUCTS PRIVATE LIMITED,Active
U85100DL2010PTC203935,MOBILE HEALTH SOLUTIONS PRIVATE LIMITED,Active
U40101HR2010PLC040909,OMAX AEROSPACE AND DEFENCE LIMITED,Active
U74140DL2010PTC209880,HEXAGRAMM DESIGN PRIVATE LIMITED,Active
U51909DL2011PTC214326,SOGA COMMODITIES PRIVATE LIMITED,Active
U45201OR2010PTC012573,SAI HOMETECH PRIVATE LIMITED,Active
U72200TG2010PTC066544,CORPONE OUTSOURCING PRIVATE LIMITED,Active
U31102RJ2009PTC030231,SUPER POWER TRANSFORMERS PRIVATE LIMITED,Active
U40300HR2010PTC039945,NIPRA POWER GEN PRIVATE LIMITED,Active
U65923UP2011PLC044901,RAMA INDIA INTERMEDIATES LIMITED,Active
U29253HR2011PTC050129,LIMITLESS ENGINEERS ALLIANCE PRIVATE LIMITED,Active
U74140PB2011PTC035294,S KHURANA CORPORATE ADVISORS PRIVATE LIMITED,Active
U80302RJ2009PTC028788,INFOMATRIX COMPUTERHUB PRIVATE LIMITED,Active
U28113DL2012PTC234427,STARDECK PRODUCTS PRIVATE LIMITED,Active
U26941GJ2009PLC057757,ADESHWAR INFRABUILD LIMITED,Active
U85100KA2012PTC063805,ARKIN LIFE SCIENCES PRIVATE LIMITED,Active
U72200KA2012PTC065058,STUN-A-REVE SOLUTIONS PRIVATE LIMITED,Active
U74140DL2013PTC253805,PATHFINDERS MEDIA PRIVATE LIMITED,Active
U74999HR2013PTC049361,EUPHORIASQUAD INNOVATION PRIVATE LIMITED,Active
U74140HR2013PTC049240,E7 PROCESSING SERVICES PRIVATE LIMITED,Active
U72900DL2013PTC247641,TECHVILLA IT SERVICES PRIVATE LIMITED,Active
U70101DL2013PTC248147,MANSI BUILDTECH PRIVATE LIMITED,Active
U74140DL2012PTC246594,ETASH MANAGEMENT SERVICES PRIVATE LIMITED,Active
U93090HR2011PTC044312,THE OFFICE GUYS SERVICES INDIA PRIVATE LIMITED,Active
U63000DL2012PTC245119,RUSH TRAVEL PRIVATE LIMITED,Active
U74900TN2011PTC083414,BVAST MANAGEMENT CONSULTANTS PRIVATE LIMITED,Active
U74999HR2012PTC045568,FITNESS ANTHEM GYM & SPA PRIVATE LIMITED,Active
U72900CH2012PTC034101,MIRUS LABS PRIVATE LIMITED,Active
U72400DL2012PTC242726,CAB CLINICAL SERVICES INDIA PRIVATE LIMITED,Active
U74999TN2012PTC087769,GRUHAS PROPERTY ADVISORS PRIVATE LIMITED,Active
U63000HR2014PTC052643,UNEXPLORED LIFESPACES PRIVATE LIMITED,Active
