CIN,Company Name,Status
U52190PN2021PTC200007,INKED STORIES PRIVATE LIMITED,Active
U74999DL2020PTC375182,SHOPPER NETWORK PRIVATE LIMITED,Active
U74999HR2021PTC095924,IIMARKIN CONSULTING PRIVATE LIMITED,Active
U74999PB2019PTC048876,TRESEPTO PRIVATE LIMITED,Active
U74995KA2018PTC114601,FARHANS CAREERS LEAGUE PRIVATE LIMITED,Active
U74999RJ2018PTC061757,KRISHNAWAT HOTELS & RESORTS PRIVATE LIMITED,Active
U74999UP2019PTC112210,ACUTOSE IT PRIVATE LIMITED,Active
U45201WB2019PTC229773,AMK NIRMAN PRIVATE LIMITED,Active
U45309TG2018PTC121729,SHIVAANIKETH INFRA & PROJECTS PRIVATE LIMITED,Active
U74999MH2019PTC322355,UNIMIC TRADING PRIVATE LIMITED,Active
U74999TZ2018PTC029906,BETHEL FASHION STUDIO PRIVATE LIMITED,Active
U72900TG2018PTC125617,NAVIZ ANALYTICS INDIA PRIVATE LIMITED,Active
U74999KA2018PTC109613,BETTERGOLD TECHNOLOGIES PRIVATE LIMITED,Active
U74999KA2018PTC109648,ECOMATRICES RECOMMERCE PRIVATE LIMITED,Active
U74999MH2019PTC320731,HYTECH ACR PRIVATE LIMITED,Active
U72900AP2019PTC111103,ITAAG APPLICATION SERVICES PRIVATE LIMITED,Active
U72900UP2019PTC113559,INCEPTION WAVE PRIVATE LIMITED,Active
U72200KA2019PTC121394,REYBHAV TECHNOLOGIES PRIVATE LIMITED,Active
U01100RJ2018PTC060114,CHALSI AGRI SEED PRIVATE LIMITED,Active
U66020PN2018PTC177746,FOSIFEEL IMF PRIVATE LIMITED,Active
U72900TG2019OPC130935,VANASRI TECH (OPC) PRIVATE LIMITED,Active
U01400GJ2019PTC106966,SABARKANTHA FARMERS PRODUCER COMPANY LIMITED,Active
U15490PY2022PTC008821,PREMAS ENTERPRISES PRIVATE LIMITED,Active
U01119TG1976PTC008280,GROMORE CHEMICALS PVT.LTD.,Active
U17122TG1989PLC009807,DIVYA ENTERPRISES LTD,Active
U01119TG1992PLC014200,MUSHROOM IMPEX INDIA LIMITED,Active
U40106MP2022PTC062564,GRASSLAND GREEN ENERGY CONSERVANCY PRIVATE LIMITED,Active
U67120TG1994PTC018185,STOCKTRUST SECURITIES (INDIA) PVT LTD,Active
U63023TG2003PLC040654,NSL POWER LIMITED,Active
U55209PN2022PTC214540,FOODIZO NETWORK PRIVATE LIMITED,Active
U15412AS2003PTC007170,CHIRAG BAKERS PRIVATE LIMITED,Active
U15310GJ1993PTC020529,AVINASH IMPEX PRIVATE LIMITED,Active
U51505GJ1995PTC026065,SHREE DUTT MARKETING PVT LTD,Active
U45209HP1981PTC004618,K.C.TUBES PRIVATE LIMITED,Active
U85110KA1992PTC013186,SCRIPMAN SERVICES PRIVATE LIMITED,Active
U85110KA1990PTC011228,PARIJMA HEALTHCARE PRIVATE LIMITED,Active
U70102KA1984PTC005927,I.L.I PRIVATE LIMITED,Active
U65992KL1975PTC002657,JANAKSHEMAM KURIES PVT LTD,Active
U85110KA2001PLC029369,SCIENTIFIC ANTIAGING AND HEALTH CARE INTERNATIONAL LIMITED,Active
U36911KA2004PTC034091,INTER-JEWELS CHEMM PRIVATE LIMITED,Active
U04520MP2005PTC017821,AARADHYA CONTRACTORS PRIVATE LIMITED,Active
U72200RJ2022OPC083766,BITTU ICLOUD (OPC) PRIVATE LIMITED,Active
U74999MH1981PTC025006,SIEMAG PNEUMATICS PRIVATE LIMITED,Active
U29112MP1984PTC002645,ANCHOR ENGINEERING INDUSTRIES PVT LTD,Active
U18101MH1973PTC016719,HARICHAND AND SONS PRIVATE LIMITED,Active
U80903MN2022PTC014656,FOUNTAIN OF TOMORROW EDUCARE PRIVATE LIMITED,Active
U45200MH1986PTC038950,BOMBAY KUNSTSTOFF PHARMA SUPPLIES PVT LTD,Active
U99999MH1991PTC060444,KOCHHAR SURVEYORS PRIVATE LIMITED,Active
U24230MH1986PTC040497,VAC PHARMACEUTICALS PVT. LTD.,Active
U28129MH1994PTC084131,PINK PACKAGING & MOULDING PRIVATE LIMITED,Active
U65990MH1994PTC081748,CAPRICORN SECURITIES INDIA PRIVATE LIMITED,Active
U36910MH1996PTC095989,OSTWAL DIAMONDS PRIVATE LIMITED,Active
U55103MH1995PLC087759,NEXXUS AIR LIMITED,Active
U29299MH2000PLC126434,ACE TECHCOM LIMITED,Active
U24100CH1984PTC031696,SKIPPER CHEMICALS PVT LTD,Active
U72900MH2002PTC134631,REALACUMEN TECH PRIVATE LIMITED,Active
U29130RJ1991PTC005800,ACCURATE BEARINGS PVT LTD,Active
U29130RJ1991PLC005967,JODHPUR BEARINGS LIMITED,Active
U74210TN1986PTC013554,OCTEP CONSULTANTS PRIVATE LIMITED,Active
U28991TN1984PLC011196,LOYAL INDUSTRIAL GEARS LTD.,Active
U51909TN1993PTC054987,R.V. IMPEX PRIVATE LIMITED,Active
U51109UR1991PTC013821,RISHIKESH FUEL INJECTORS PRIVATE LIMITED,Active
U14220TN1996PLC034264,BHARAT SSANGYONGSALT CORPORATION LIMITED,Active
U36911UP1998PTC023894,NAVRATAN ORNAMENTS PRIVATE LIMITED,Active
U21099UP1967PLC003154,SUURAJ INDUSTRIAL PACKING LIMITED,Active
U51109WB1995PTC069644,GOPAL INDUSTRIES PRIVATE LIMITED,Active
U27320WB2004PTC098977,HEY AMBAY FERROUS PRIVATE LIMITED,Active
U18101WB2003PTC097383,SUMAN GARMENTS PRIVATE LIMITED,Active
U63090WB2001PTC093556,CARGOMAR (KOLKATA) PRIVATE LIMITED,Active
U74200CH1984PTC005826,K K ENGINEERS INDIA PRIVATE LIMITED,Active
U74899DL1983PLC016520,CONCRETE TECHNO PROJECTS LIMITED,Active
U74899DL1994PTC057691,ROOPALI SECURITIES AND CREDITS PRIVATE LIMITED,Active
U74210DL1994OPC062581,SUKALPA ARCHITECTS PRIVATE LIMITED(OPC),Active
U74899DL1993PTC055824,K R PORTFOLIOS PRIVATE LIMITED,Active
U74899DL1993PTC055516,GRAFIX SOFTWARE PRIVATE LIMITED,Active
U74899DL1991PTC043214,INDO ASIA PRIVATE LIMITED,Active
U74900DL1996PLC080525,SOBTI CONSTRUCTIONS (INDIA) LIMITED,Active
U15412DL1996PTC080288,PUDDING AND PIE INDIA PRIVATE LIMITED,Active
U19129DL1996PTC082083,MODERN LACE HOUSE PRIVATE LIMITED,Active
U85110DL1997PTC085930,PRIME MEDICARE PVT LTD,Active
U27310DL1998PTC096344,ARGON TENSILE STEELS PRIVATE LIMITED,Active
U92132DL2004PTC130565,DSH TELE-WORLD NETWORK PRIVATE LIMITED,Active
U74140DL2004PLC127936,AMSERVE CONSULTANTS LIMITED,Active
U74999DL2003PTC123354,ET ENVIROTECH OVERSEAS PRIVATE LIMITED,Active
U51909DL2004PTC127660,SHREYAM FASHION DESIGNERS PRIVATE LIMITED,Active
U24299DL2005PTC138363,KINGMAKER PRODUCTS PRIVATE LIMITED,Active
U24233DL2005PTC139403,ROSEMONT MEDICARE PRIVATE LIMITED,Active
