CIN,Company Name,Status
U74999UP2018PTC106033,IREGAL OCCURRENCE MANAGEMENT PRIVATE LIMITED,Active
U72900CT2019PTC008984,WEPPL SOCIAL VENTURES PRIVATE LIMITED,Active
U24100MH2019PTC319405,NIHAL PHARMACHEM PRIVATE LIMITED,Active
U72900MH2018PTC311650,VIRONY SOFTECH PRIVATE LIMITED,Active
U72900DL2019PTC344120,KST TECHNOLOGIES PRIVATE LIMITED,Active
U52399UP2019PTC112593,RUKSAR INDUSTRIES PRIVATE LIMITED,Active
U72900PN2019PTC181627,ADINTECHA PRIVATE LIMITED,Active
U72100RJ2023PTC091103,VISIONENCE TECH PRIVATE LIMITED,Active
U74999DL2018OPC328446,OHE CONSULTING (OPC) PRIVATE LIMITED,Active
U74994UP2018PTC103606,UNIFII-NOW TECHNOLOGY CONSULTING PRIVATE LIMITED,Active
U63030GJ2019PTC106420,DRASHTI SHIPPING PRIVATE LIMITED,Active
U72900KA2019PTC121273,GIKU TECHNOLOGIES PRIVATE LIMITED,Active
U74999RJ2019PTC063997,TRIWILL HOLIDAYS PRIVATE LIMITED,Active
U70109KL2019PTC056831,HUTFIN COM PRIVATE LIMITED,Active
U74999KA2018PTC109806,SNL TECH SOLUTIIONS PRIVATE LIMITED,Active
U47912PN2023PTC218622,SEMISEJ JEWELS MARKETING PRIVATE LIMITED,Active
U74999HR2018PTC072415,MAXIMA SALES AND MANAGEMENT SERVICES PRIVATE LIMITED,Active
U93000TN2019PTC127726,KANNIGAA AGRITECH PRIVATE LIMITED,Active
U74999DL2019PTC346690,JUSTI RESEARCH AND STRATEGY PRIVATE LIMITED,Active
U73200UR2019OPC009587,SRIM FOOD RESEARCH AND TRAININGS SOLUTIONS (OPC) PRIVATE LIMITED,Active
U82990KA2023PTC171197,IGES TECHNO PRIVATE LIMITED,Active
U29309HR2022PTC106374,ISAR METALS PRIVATE LIMITED,Active
U05005AP1994PTC017319,SAIKRUPA FARMS PVT LTD,Active
U24110TG1979PTC002573,APN INDIA PRIVATE LIMITED,Active
U70100TG2001PTC037157,GREENCITY HOUSING PRIVATE LIMITED,Active
U29100TG1998PTC029466,STAR FEATURES INDIA PRIVATE LIMITED,Active
