CIN,Company Name,Status
U65990MH2020PTC352840,KAVI TRAVELS AND FOREX PRIVATE LIMITED,Active
U50500UP2019PTC112190,ZEN AUTOMOTIVE PRIVATE LIMITED,Active
U80901KA2019PTC120418,ABVITAC INTERNATIONAL PRIVATE LIMITED,Active
U74999TG2018PTC121762,OVIYA INTERIORS SOLUTIONS PRIVATE LIMITED,Active
U24299MH2019PTC320001,CAPILLARY PARENTERALS (I) PRIVATE LIMITED,Active
U52609DL2019PTC344976,RIZHORIZON PRIVATE LIMITED,Active
U72900OR2019PTC030386,CYBERFOLKS TECHNOLOGIES PRIVATE LIMITED,Active
U70109TN2019PTC127609,PARTHO PROPERTIES PRIVATE LIMITED,Active
U22219DL2019PLC346511,PKJ PUBLISHERS LIMITED,Active
U51909TG1990PTC011088,DREAM DESIGN EXPORTS PVT. LTD.,Active
U24230TG1995PLC020644,VERA PHARMA LIMITED,Active
U74999KA2022OPC165755,VIKSHITH GANESH (OPC) PRIVATE LIMITED,Active
U18209UP2022PTC170298,SUMIR FAB CREATIONS PRIVATE LIMITED,Active
U27100GJ1973PTC002434,INVENTA STEELS PVT LTD,Active
U00314JH1994PTC006120,S.G. ENTERPRISES PRIVATE LIMITED,Active
U45201GJ1993PTC018862,CHAMPANER CONSTRUCTION PVT LTD,Active
U24231GJ1993PTC020484,VIJAY DEEP DYE-CHEM PVT LTD,Active
U36912GJ1989PTC013127,CGI OPHTHALMIC PRIVATE LIMITED,Active
U14108KL1994PLC007975,MUTHOOT APT CERAMICS LTD,Active
U67120KA2003PTC031589,KRISH AND RAM FOREX PRIVATE LIMITED,Active
U67120KA2004PTC034567,MOLARK ENTERPRISES PRIVATE LIMITED,Active
U24223MH1951PLC008367,RAINBOW INK AND VARNISH MANUFACTURING COMPANY LIMITED,Active
U45400MH2022PTC390488,KANESA HOMES PRIVATE LIMITED,Active
U65990MH1981PTC025532,ENTERMONDE INVESTMENTS PVT LTD,Active
U72900HR2022OPC106675,YAHR CONSULTANCY (OPC) PRIVATE LIMITED,Active
U45201MH2022PTC390712,KANESA LIFESPACES PRIVATE LIMITED,Active
U74999DL2022FTC404817,VISAWORKS GLOBAL (INDIA) PRIVATE LIMITED,Active
U67120MH1995PTC091896,RAISONI SECURITIES PRIVATE LIMITED,Active
U92312GJ1995PTC057690,MAGIC BOX PRODUCTIONS PRIVATE LIMITED.,Active
U63040MH2000PTC124358,MUTUAL TRAVELS ( INDIA) PRIVATE LIMITED,Active
U51900MH2000PTC128023,YMH ENTERPRISES PRIVATE LIMITED,Active
U63090MH2000PTC130097,SEATRANS LOGISTICS (INDIA) PRIVATE LIMITED,Active
U17299MH1997PTC110060,ANDAZ TEXTILES PRIVATE LIMITED,Active
U85110TN1993PTC025885,MADRAS ANDROLOGY RESEARCH CENTRE PRIVATE LIMITED,Active
U45201TN2002PTC050041,APEX FOUNDATIONS PRIVATE LIMITED,Active
U72300TN1998PTC040048,APEX TRANSCRIPTERS PRIVATE LIMITED,Active
U25209PN1992PTC020525,NEW CHEM PLASTICS (I) PRIVATE LIMITED,Active
U74899DL1990PTC041376,DEEANJALI STAMPINGS PRIVATE LIMITED,Active
U74899DL1992PTC051146,RAJIVA EXPORTS PRIVATE LIMITED,Active
U74899DL1994PTC062439,AKASH GANGA PORTFOLIOS PRIVATE LIMITED,Active
U19201DL1993PTC053256,CAPITAL POLYMERS INDUSTRIES PRIVATE LIMITED,Active
U74899DL1995PTC070192,STRING DEVELOPERS PRIVATE LIMITED,Active
U74899DL1995PTC070802,CHINAR METALS PRIVATE LIMITED,Active
U25111DL1998PTC068198,CHOUDHARY TYRES PRIVATE LIMITED,Active
U65992DL2001PTC112610,SAMBHAV CHIT FUND PRIVATE LIMITED,Active
U49230DL2004PTC124850,D K INVESTIGATORS PRIVATE LIMITED,Active
U72200PN2000PTC014524,E VYAPAR INFO SOLUTIONS PRIVATE LIMITED,Active
U36101MP2007PTC019544,EURO DOORS AND DOORS PRIVATE LIMITED,Active
U85110MH2008PTC178690,ASHIRWAD MULTISPECIALITY HOSPITAL AND RESEARCH CENTRE PRIVATE LIMITED,Active
U18101DL2008PTC177606,DURGA CREATIONS PRIVATE LIMITED,Active
