CIN,Company Name,Status
U01110PN2021PTC200481,SANT KISANGIRI AGRO FARMERS PRODUCER COMPANY LIMITED,Active
U15490TN2021PTC142779,3N HEALTH PRODUCTS PRIVATE LIMITED,Active
U74999UP2021OPC144992,FLASH MR (OPC) PRIVATE LIMITED,Active
U74999DL2018PTC336315,NEWSKIES IMPEX PRIVATE LIMITED,Active
U45201OR2018OPC029730,NGOC INFRASTRUCTURE (OPC) PRIVATE LIMITED,Active
U15490GJ2018PTC103193,NUTZZ AND BUTZZ ORGANICS PRIVATE LIMITED,Active
U74999HR2018PTC074919,EX MACHINA PRIVATE LIMITED,Active
U72900HR2008PTC072208,KULSIM TECHNOLOGY PRIVATE LIMIED,Active
U85300UP2019PTC112432,SAVITRI ORTHOCARE MEDICAL STORE PRIVATE LIMITED,Active
U93090TG2019PTC129816,VISION7 LEGAL SOLUTIONS PRIVATE LIMITED,Active
U72900HR2018PTC072241,CUCKOOCART ONLINE SERVICES PRIVATE LIMITED,Active
U74999TG2019PTC129916,PAN GENESIS HEALTHCARE SERVICES PRIVATE LIMITED,Active
U55101MH2019PTC322379,VHS VILLA 9 HOSPITALITY SERVICES PRIVATE LIMITED,Active
U55109PN2019PTC181664,KARAD HOTELIERS PRIVATE LIMITED,Active
U74999TZ2019PTC031604,SALEM MEGA FOOD PARK PRIVATE LIMITED,Active
U74999DL2018PTC328550,CGA ENTERPRISE SOLUTIONS PRIVATE LIMITED,Active
U74999HR2018PTC072286,PMD ASIAN METALS PRIVATE LIMITED,Active
U15549DL2019PTC345318,DEVKIRAN PRODUCTS PRIVATE LIMITED,Active
U45500BR2018PTC036926,SARK INFRA ESTATES PRIVATE LIMITED,Active
U45309DL2019PTC345353,SUMIT GOEL BUILDCON PRIVATE LIMITED,Active
U74999DL2019PTC345480,MATTSENKUMAR CYBER SERVICES PRIVATE LIMITED,Active
U70109MH2019PTC320712,ONECUBE PROPERTY MANAGEMENT PRIVATE LIMITED,Active
U74999DL2019PTC345707,SAJIVA AYURVEDA PRIVATE LIMITED,Active
U72900PB2019PTC049033,XCELANCE INSIGHTS PRIVATE LIMITED,Active
U74999DL2019PTC345861,SMR YOGI FILMS MEDIA & ENTERTAINMENT PRIVATE LIMITED,Active
U45100TN2018PTC124665,PILECUBES INDIA PRIVATE LIMITED,Active
U24111MH2019PTC321731,SUNSUR LIFE SCIENCES PRIVATE LIMITED,Active
U25209GJ2019PTC106895,OSKO RUBBER INDUSTRIES PRIVATE LIMITED,Active
U74999GJ2019PTC106854,KDC DIGITAL PRIVATE LIMITED,Active
U74999KA2019PTC122088,BIOCONNEXUS INDIA PRIVATE LIMITED,Active
U74999PN2019PTC182617,JOYALS TECH & FOODS PRIVATE LIMITED,Active
U74999HR2019PTC078942,PRONTO DIGITAL SERVICES PRIVATE LIMITED,Active
U74999MH2019PTC322202,FINFULL FOODS PRIVATE LIMITED,Active
U52609HR2019OPC079092,FARALD RETAIL EMPORIUM (OPC) PRIVATE LIMITED,Active
U27320DL2018PTC328935,PARADISE MALTI METALS PRIVATE LIMITED,Active
U74999TG2018PTC125705,KAMAKSHI OCCASIONS PRIVATE LIMITED,Active
U72502PN2019PTC182811,DIALAI TECHNOLOGIES PRIVATE LIMITED,Active
U47211AS2024OPC026267,PAUL AAYAN (OPC) PRIVATE LIMITED,Active
U45209RJ2022PTC081124,MM INFRAHEIGHTS PRIVATE LIMITED,Active
U67100WB2022PTC256939,MAA ADISHAKTI SOLUTION PRIVATE LIMITED,Active
U26109TG1972PTC001469,HARVIN SCIENTIFIC OPTICS PRIVATE LIMITED,Active
U28990TG2003PTC041469,NOVA TOOLS & TECHNOLOGIES PRIVATE LIMITED,Active
U72900UP2022PTC170276,VASISTHA IT GLOBAL PRIVATE LIMITED,Active
U51900KA2022PTC165803,INFOINTEL CONSULTANCY PRIVATE LIMITED,Active
U00082BR1989PTC003636,ORIYARA PROPERTIES PVT. LTD.,Active
U24230BR1987PTC002687,JESKAY PHARMO CHEM PRIVATE LIMITED,Active
U29120AS1980SGC001843,ASSAM STATE MINOR IRRIGATION DEVELOPMENT CORPORATION LIMITED,Active
U51909GJ1985PTC008149,TRINITY MARKETING PVT LTD,Active
U74999HP2005PTC028932,NZ TECHNOLOGIES PRIVATE LIMITED,Active
U67200KA1980PTC003860,CAWASJI INVESTMENTS PRIVATE LIMITED,Active
U65910KA1994PTC015261,MAKAM CHIT PROMOTERS PRIVATE LIMITED,Active
U63030KA2022PTC165978,EZRA LOGISTIC SOLUTIONS PRIVATE LIMITED,Active
U65999KA1994PTC016107,MANIPAL IT SERVICES PRIVATE LIMITED,Active
U80903HR2022PTC106549,BURLYE LEARNING SERVICES PRIVATE LIMITED,Active
U85110KA1995PTC017776,GENCO HOLDINGS PRIVATE LIMITED,Active
U72200KA2005PTC035821,LOGIN WEB SERVICES PRIVATE LIMITED,Active
U65910KL1985PLC004359,"ST.MARY,S FINANCE LTD",Active
U18101KA2005PTC037230,GENTEX APPAREL PRIVATE LIMITED,Active
U65992KL1995PTC008652,PALA CHITTY COMPANY PRIVATE LIMITED,Active
U72200DL2022PTC404931,BREACH GUARD TECHNOLOGIES PRIVATE LIMITED,Active
U55102KL1996PTC010172,ALDER FARMS AND RESORTS PRIVATE LIMITED,Active
U29299KL1989PTC005459,BEANDES APPLIANCES PRIVATE LIMITED,Active
U05190KA2004PTC035247,LOGIN BUSINESS SOLUTIONS PRIVATE LIMITED,Active
U45309MH2022PTC390648,KANESA INFRASTRUCTURE PRIVATE LIMITED,Active
U45201MP2003PTC015885,RUCHI BUILDERS PRIVATE LIMITED,Active
U72900DL2021PTC378779,PLAYTEL PRIVATE LIMITED,Active
U74140MH1977PTC019742,PRUTHI CONSULTANTS PRIVATE LIMITED,Active
U26910MH1982PTC027212,DATTANI CERAMICS PRIVATE LIMITED,Active
U74210MH1985PTC036767,MARGI INDUSTRIAL SERVICES PVT LTD,Active
U72200MH1983PTC030214,INNOVATIVE DATA ORGANISERS PRIVATE LIMITED,Active
U36109PN1982PTC026190,PANDE DESIGNS PVT LTD,Active
U85300KL2022PTC077954,HABIT IT HEALTH AND FITNESS PRIVATE LIMITED,Active
U74140MH1988PTC045855,LATASHA CONSULTANCY SERVICES PRIVATE LIMITED,Active
U64200HR2022PTC106654,SMARTPING TEL PRIVATE LIMITED,Active
U45500MH2022PTC390632,KANESA BUILDERS PRIVATE LIMITED,Active
U70100MH1989PTC054173,MARWAH DEVELOPMENT PRIVATE LIMITED,Active
U74210MH1988PTC047819,STRONGWELD ENGINEERING PRIVATE LIMITED,Active
U17100MH2004PTC049130,ZENITH FIRE SERVICES(INDIA) PVT LTD,Active
U74140MH1987PTC045363,QIMPRO CONSULTANTS PRIVATE LIMITED,Active
U74210MH1991PTC060520,PIPEARTS ENGINEERS (INDIA) PRIVATE LIMITED,Active
U27104MH1986PTC040592,SCIAKY WIRE CUT PVT LTD,Active
U72900TN2022PTC155469,ZOOBLE SOFT PRIVATE LIMITED,Active
U72900WB2022OPC257291,GLIMLACH DIGITAL (OPC) PRIVATE LIMITED,Active
U51395PN1992PTC068602,KSHIPRA ENTERPRISES PVT LTD,Active
U45309MH2022PTC390808,KANESA DEVELOPERS PRIVATE LIMITED,Active
U29200MH1987PTC043592,BLACKSMITH EQUIPMENT (INDIA) PVT LTD,Active
U99999MH1985PTC038480,SHASTRY ENGINEERING INDUSTRIES AND COMPANY PVT LTD,Active
U74210MH1993PTC072795,NEW WAYS MARKETING INDIA PRIVATE LIMITED,Active
U17120MH1993PTC075769,NIKI HOSIERY P.LTD.,Active
U33130MH1992PTC066370,NIRAV COUNTEL DEVICES PVT LTD,Active
U35999PN1995PTC095074,SURYA AUTO PARTS PRIVATE LIMITED,Active
U45201MH1995PTC084791,SRI SRI GURUDEO PROMOTERS PRIVATE LIMITED,Active
U70100MH1996PTC102618,ZENITH REALITY PRIVATE LIMITED,Active
U51900MH1999PTC121390,MOUND TRADING COMPANY PRIVATE LIMITED,Active
U28939PB1996PLC018241,TRIMURTI TELEWARES LIMITED,Active
U74999RJ2022PTC083922,QCERT GLOBAL AGRI CERTIFICATION PRIVATE LIMITED,Active
U15142TN1981PTC008767,SRI GANESH OIL INDUSTRIES PRIVATE LIMITED,Active
U27107RJ1992PTC006557,M.J. STRUCTURES PRIVATE LIMITED,Active
U74140TN1994PTC027352,TQM SYSTEMS (INDIA) PRIVATE LIMITED,Active
U18209TN1987PLC014105,GEM LEATHERS LTD.,Active
U72200TN2004PTC055012,SAHASRA SOLUTIONS PRIVATE LIMITED,Active
U15421TN2004PTC052927,MAYA SUGARS AND CHEMICALS PRIVATE LIMITED,Active
U45201TN1996PTC034812,AVN CONSTRUCTIONS PRIVATE LIMITED,Active
U72200TN2003PTC050621,NUGGET SYSTEMS PRIVATE LIMITED,Active
U45203UP1991PTC012726,M.M.S. SUGAR AND POWER ENGINEERS PRIVATE LIMITED,Active
U65922UP1996PTC019948,SAHU HOUSING AND FINANCE PRIVATE LIMITED,Active
U24111UP1964PTC003008,OTACHEM PRIVATE LIMITED,Active
U51909MP2022PTC062839,SHRIMANGALSONS ENTERPRISES PRIVATE LIMITED,Active
U74999MP2016PTC041283,CHIPPR DEALS PRIVATE LIMITED,Active
U51909WB1994PTC062497,ROPLAS COMMOTRADERS PVT LTD,Active
U51109WB1993PTC057393,BAJORIA DISTRIBUTORS PVT LTD,Active
U51909WB1993PTC057391,AGARWAL TREXIM PVT LTD,Active
U01222WB1997PTC085869,HARCO ANIMAL RESOURCES COMPANY PRIVATE LIMITED,Active
U29130WB1996PLC079898,PONDY TECHNOLOGIES LTD,Active
U92419WB1995PLC074734,MERCURY HIMALAYAN EXPLORATIONS LTD.,Active
U51109WB1995PTC068627,GAGANBASE SALES PVT LTD,Active
U51109WB1995PTC072556,VERSATILE SECURITIES PVT LTD,Active
U29299WB2005PTC102691,PMP EQUIPMENTS PRIVATE LIMITED,Active
U74999WB2001PTC093931,MAGNUM SURVEYORS (I) PRIVATE LIMITED,Active
U25191DL1982PTC014637,BRIGHT RUBBER INDUSTRIES PRIVATE LIMITED,Active
U45209DL1983PLC016514,NATURETECH BUILDERS LIMITED,Active
U18101DL1981PTC011616,YOU-N-ME PVT LTD,Active
U17223DL1988PTC033583,CUSTOM CARPETS PRIVATE LIMITED,Active
U74899DL1987PTC029371,CONSOLIDATED PLASTICS PRIVATE LIMITED,Active
U74899DL1987PTC026946,POLO AGRO FARMS PRIVATE LIMITED,Active
U74899DL1985PTC022851,ESSEL ENGINEERING INDUSTRIES PRIVATE LIMITED,Active
U74899DL1993PLC054360,GLOBAL MANAGEMENT AND CONSULTANCY SERVICES LIMITED,Active
U74899DL1993PLC055352,PHOENIX HYDRO CARBONS LIMITED,Active
U74899KA1994PTC044276,JHANSI MINING PVT LTD,Active
U74899DL1995PTC065311,PRAYAG DHATU UDYOG PRIVATE LIMITED,Active
U65993DL1996PTC082935,ANUGRAHA INVESTMENTS PRIVATE LIMITED,Active
