CIN,Company Name,Status
U72900TN2021PTC143103,INGENIZ PRIVATE LIMITED,Active
U51909BR2021OPC051657,SARTHAK ONLINE SATHI (OPC) PRIVATE LIMITED,Active
U29309MP2021PTC055861,DUSHYANT DUBEY BUILDERS AND ENVIRO ENGINEERING PRIVATE LIMITED,Active
U90001MP2021PTC055860,ARYAANDARYA MANAGEMENT PRIVATE LIMITED,Active
U45209MH2018PTC311644,RASHESHWAR MASS BUILD SQUARE STRUCTURE PRIVATE LIMITED,Active
U74999UP2019PTC112247,VINNO INNOVATIVES PRIVATE LIMITED,Active
U72900PB2018PTC047361,AAMAZING IT DESIGN INDIA PRIVATE LIMITED,Active
U74999KA2018PTC114626,DEXTERITY FACILITY MANAGEMENT SERVICES PRIVATE LIMITED,Active
U74999JH2019PTC012416,DCENT ENTERTAINMENT & EVENT PLANNERS PRIVATE LIMITED,Active
U74999GJ2019PTC106189,EURORESEARCH ADVISORY INDIA PRIVATE LIMITED,Active
U74999DL2019PTC347102,ALTREUS TECHNOLOGIES PRIVATE LIMITED,Active
U51109MH2007PTC311831,REDROSE COMMERCIAL PRIVATE LIMITED,Active
U72900KA2018PTC109542,COOLSOL SOLUTIONS PRIVATE LIMITED,Active
U24304DL2019PTC347112,ONE EARTH HYGIENE PRIVATE LIMITED,Active
U72300KA2018PTC109573,ABSOTECH SOLUTIONS PRIVATE LIMITED,Active
U74999KA2019PTC121002,CRM CONSULTANCY SERVICES PRIVATE LIMITED,Active
U74999MH2019PTC320725,TELERECT SOLUTIONS PRIVATE LIMITED,Active
U85100KL2018PTC051870,SRKB HEALTHCARE PRIVATE LIMITED,Active
U51909TZ2019OPC031700,JUSTREASURE TRADERS (OPC) PRIVATE LIMITED,Active
U92412HR2019OPC078674,MAGIC CREATIONS STUDIOS (OPC) PRIVATE LIMITED,Active
U74999AP2019PTC111281,STRINGZ LIFESTYLE PRIVATE LIMITED,Active
U72900KA2019PTC121849,WAGEFIRE TECHNOLINK PRIVATE LIMITED,Active
U74999TG2019PTC131064,KOLLAR INTERNET SERVICES PRIVATE LIMITED,Active
U74999MH2022PTC389850,XIPRONET PRIVATE LIMITED,Active
U74910TG1988PTC009120,BOMPAT RECRUITERS PVT.LTD.,Active
U74999TG1994PTC018758,UNITED FIRE STOPPING SOLUTIONS PRIVATE LIMITED,Active
U40200AP2003PTC041785,ECO CARBON PRIVATE LIMITED,Active
U51432TG2003PLC040568,APARNA EXIM LIMITED,Active
U74120TG2003PTC041540,MAKSEL ENGINEERS PRIVATE LIMITED,Active
U72200TG2000PTC034437,ROADRANZER ROAD SIDE ASSISTANCE IT SERVICES PRIVATE LIMITED,Active
U25209TN2022PTC155163,GREENCIRCLE INDUSTRIES PRIVATE LIMITED,Active
U72200TG2005PTC047050,CHULUKA SOLUTIONS PRIVATE LIMITED,Active
U51909TG2004PTC043930,CULCREUCH EXPORTS PRIVATE LIMITED,Active
U72400TG2005PTC046023,ETHAMES TECHNOLOGIES PRIVATE LIMITED,Active
U85100BR2003PTC010182,INSTITUTE OF INTERVENTIONAL CARDIOLOGY PRIVATE LIMITED,Active
U45200BR1995PTC006287,JAIMANGLA BUILDERS PRIVATE LIMITED,Active
U55101DL2022PTC404294,CREST TOURISM INDIA PRIVATE LIMITED,Active
U51909GJ1985PTC008293,SWAN FOODS PVT LTD,Active
U51391MZ2022OPC013472,PACHUAU COSMETICS (OPC) PRIVATE LIMITED,Active
U45201GJ1995PTC025510,SURUCHI CONSTRUCTION PRIVATE LIMITED,Active
U24220GJ2005PTC046768,NAVJIVAN RESINS AND COATINGS PRIVATE LIMITED,Active
U40300MH2022PTC390222,PMA SYSTEMS PRIVATE LIMITED,Active
U51496GJ1990PTC014489,PRAKASH IMPEXP PRIVATE LIMITED,Active
U45201GJ1988PTC011689,HEATCAL TECHNOLOGY PVT LTD,Active
U24230GJ2000PTC037417,SEVA HEALTHCARE PRIVATE LIMITED,Active
U50100TN2019PTC128054,SUCAKRA AUTOMOBILE SERVICES PRIVATE LIMITED,Active
U72200GJ2000PTC038840,BAEURER INFOTECH PRIVATE LIMITED,Active
U51909TG2022PTC166551,AERWA BALRAJ FOODS PRIVATE LIMITED,Active
U73100DL2022PTC404432,VQUANTA PRIVATE LIMITED,Active
U51909KA1993PTC013858,AARVEE DISTRIBUTORS PRIVATE LIMITED,Active
U15134GJ2000PTC038882,BABUL AGROFOODS PRIVATE LIMITED,Active
U45400KA1998PTC023915,SKYTOP INFRASTRUCTURE BUILDERS PRIVATE LIMITED,Active
U45200KA2000PTC026707,PLACEO INFRASTRUCTURE PRIVATE LIMITED,Active
U67120KA1997PTC023034,SWATI SHARES PRIVATE LIMITED,Active
U17114KA2001PTC029363,K.G.M.SWEATERS AND KNITS PRIVATE LIMITED,Active
U74140KA2001PTC029469,PRAYAG CONSULTING PRIVATE LIMITED,Active
U72200KA2003PTC031729,ADVICEAMERICA SOFTWARE DEVELOPMENT CENTRE PRIVATE LIMITED,Active
