CIN,Company Name,Status
U45400TG2021PTC149505,UY SCUTI INFRATECH PRIVATE LIMITED,Active
U80904HR2021PTC094298,EDUK8ME PRIVATE LIMITED,Active
U85100MH2021PTC359093,SAPTA GANGA HEALTHCARE PRIVATE LIMITED,Active
U01110PN2021PTC200471,ELLORA EXIM GLOBALISED PRIVATE LIMITED,Active
U74999TG2021PTC150276,EVIDENT BUSINESS SOLUTIONS PRIVATE LIMITED,Active
U01100PN2021PTC200337,OCTOPUS LEGACY PRIVATE LIMITED,Active
U45100UP2021PTC141325,LDPI PROJECTS PRIVATE LIMITED,Active
U72900KL2021PTC068443,SPEED DEEM PRIVATE LIMITED,Active
U93090PN2021PTC199377,BHAGYADEKHO PRIVATE LIMITED,Active
U31909DL2021PTC378279,CHIAKI ELECTRONIC UDYOG PRIVATE LIMITED,Active
U55209MH2019PTC319118,PMWS HOSPITALITY PRIVATE LIMITED,Active
U93090MP2019PTC047437,DIGIANA MUSIC PRIVATE LIMITED,Active
U72900TN2019PTC126838,MERAS MOTORS PRIVATE LIMITED,Active
U93090DL2018PTC336351,FURRIEZ TECHNOLOGIES PRIVATE LIMITED,Active
U29309GJ2018PTC103208,JAIKO CONVERTING MACHINE PRIVATE LIMITED,Active
U74999DL2019PTC344498,KIMSWID PICTURES PRIVATE LIMITED,Active
U93090MP2018OPC044860,NATANI COMMUNICATIONS (OPC) PRIVATE LIMITED,Active
U52602KA2018PTC114696,CLEAVENSKY RESELLER AND SERVICES PRIVATE LIMITED,Active
U74999KA2018PTC114691,TVASTRA INNOTECH SOLUTIONS PRIVATE LIMITED,Active
U74994DL2019PTC344859,KEFLA RETAILS PRIVATE LIMITED,Active
U74999KA2019PTC120672,HIDONS FACILITY MANAGEMENT SERVICES PRIVATE LIMITED,Active
U93000MH2019PTC320048,DOG POUND PRIVATE LIMITED,Active
U74999PN2019PTC181659,LNV LIFESTYLE PRIVATE LIMITED,Active
U72900GJ2019PTC106271,GRITXI CONSULTING SERVICES PRIVATE LIMITED,Active
U55205HP2018PTC007093,HIMALAYAN HIGHLANDERS PRIVATE LIMITED,Active
U74999DL2007PTC158734,R & R SUPERBIKES PRIVATE LIMITED,Active
U60200HR2018PTC072267,BKP WHEELBASE LOGISTIC PRIVATE LIMITED,Active
U74110KA2017PTC106851,FRESHMART EXCLUSIVE RETAIL PRIVATE LIMITED,Active
U72900TG2018PTC121875,DVIATE SYSTEMS PRIVATE LIMITED,Active
U51909DL2018PTC336485,NASSS EXPORTS PRIVATE LIMITED,Active
U74999KL2019PTC056533,ZEIT LINE INDIA PRIVATE LIMITED,Active
U74910MP2019PTC047657,TIRUMALA RECRUITMENT SKILL TRAINERS PRIVATE LIMITED,Active
U72900DL2019PTC345394,SKY DIGISOFT PRIVATE LIMITED,Active
U36939KA2019PTC121076,SLOGGER SPORTS PRIVATE LIMITED,Active
U72900KA2019PTC121032,NIYATA ENTERPRISE SOLUTIONS PRIVATE LIMITED,Active
U52609KA2018PTC114775,LAVENTIC RESELLER AND SERVICES PRIVATE LIMITED,Active
U74999TG2018PTC125667,KIKABILA CRAFTS PRIVATE LIMITED,Active
U74999PN2019PTC181970,BIZLYNX CONSULTANCY SERVICES PRIVATE LIMITED,Active
U70100TZ2019PTC031671,COIMBATORE INTEGRATED TEXTILE PARK PRIVATE LIMITED,Active
U21000DL2019PTC345719,KESHMEE INTERNATIONAL PRIVATE LIMITED,Active
U80301KA2019PTC121282,EEGLOO FULLDOME SOLUTIONS PRIVATE LIMITED,Active
U72900PY2019PTC008389,KONROD SOLUTION PRIVATE LIMITED,Active
U72900KA2019FTC122275,CERTUS APAC CONSULTING PRIVATE LIMITED,Active
U74999KL2019PTC056772,KAMBARBAY VENTURES PRIVATE LIMITED,Active
U74999AP2018PTC107516,KANIPAKA VARASIDDHI VINAYAKA FOOD TECHNOLOGIES PRIVATE LIMITED,Active
U74999MH2018PTC304558,TANOAK TECHNOLOGIES PRIVATE LIMITED,Active
U45309MH2019PTC321447,NISHCHIT K INFRASTRUCTURE PRIVATE LIMITED,Active
U72900BR2019PTC041064,SOFTELIGHT TECHNOLOGY PRIVATE LIMITED,Active
U72900UP2019PTC113771,ZENTRUM INTELLIGENCE TECH PRIVATE LIMITED,Active
U51100DL2019PTC346295,WHEE CONSULTING PRIVATE LIMITED,Active
U24239MP2019PTC047855,SRX DR SK LIFE SCIENCE PRIVATE LIMITED,Active
U52100UP2019PTC113917,ETHRO BASKET PRIVATE LIMITED,Active
U74999DL2019PTC346343,ADORITHM TECH PRIVATE LIMITED,Active
U93090GJ2019PTC106703,SRI MARINE ENGG & TECH PRIVATE LIMITED,Active
U70200MP2019PTC048039,ADBC BLOCK A CONDOMINIUMS PRIVATE LIMITED,Active
U74994UP2019PTC114007,TECHXEST AUTOMATIONS PRIVATE LIMITED,Active
U70109MP2019PTC048040,ADBC BLOCK E CONDOMINIUMS PRIVATE LIMITED,Active
U51909HR2019PTC078716,SEVENMOVES INTERNATIONAL MARKETING PRIVATE LIMITED,Active
U51909KL2018PTC051891,NAFATA 360 PHARMA INTERNATIONAL PRIVATE LIMITED,Active
U74999MH2019PTC321746,HEXA HEALTH DIMENSIONS PRIVATE LIMITED,Active
U17299TZ2019PTC031747,BIGGATE TEXTILES PRIVATE LIMITED,Active
U52609DL2018PTC336633,WIRKSAM TRADING PRIVATE LIMITED,Active
U74994MH2020PTC340388,DIGITAL INTERFACE TRADING SOLUTIONS PRIVATE LIMITED,Active
U11100HR2014PTC051566,GOVERDHANDHAM FILLINGS STATION PRIVATE LIMITED,Active
U74999KA2016PTC094907,BLUEGILD SOLUTIONS PRIVATE LIMITED,Active
U72900TN2019PTC127760,DQAI TELESALES PRIVATE LIMITED,Active
U40106GJ2019PTC106851,PAVANSUT ELECON PRIVATE LIMITED,Active
U70200WB2023PTC261926,TARRAS CONSULTING PRIVATE LIMITED,Active
U72100TG2019PTC131127,SURGE SOFTWAYTEK PRIVATE LIMITED,Active
U72900KL2019PTC057167,ACCELERON INNOVATIONS PRIVATE LIMITED,Active
U74999MH2019PTC322619,VAASUPRADA SOLUTIONS PRIVATE LIMITED,Active
U46620PN2024PTC229984,ROXFORD STEELS PRIVATE LIMITED,Active
U80301DL2022PTC395546,UJALA CYGNUS EDUCATION AND RESEARCH INSTITUTE PRIVATE LIMITED,Active
U65190KL2022PTC077767,THOTTATHILFINE CHITS PRIVATE LIMITED,Active
U65921TG1988PTC008673,RAJ KAMAL LEASING AND INVESTMENTS PVT LTD,Active
U85110TG1993PLC015831,ROHINI C.T.SCAN CENTRE LTD,Active
U25209TG1991PTC012571,MANSRI INFOTECH PROPERTIES PRIVATE LIMITED,Active
U65992AP1983PTC004283,DYNAMIC CHIT FUNDS PVT LTD,Active
U65992TG2000PTC035576,AJAYA CHITS PRIVATE LIMITED,Active
U65910TG1985PTC005897,KANODIA LEASING PVT LTD,Active
U72200TG2000PTC034403,GROWELL FINCAP PRIVATE LIMITED,Active
U01110TG1996PLC023087,AARYAN AVENUES LIMITED,Active
U24231TG2002PTC038939,MAGENE LIFE SCIENCES PRIVATE LIMITED,Active
U72200TG2000PTC034189,SHANTA SRIRAM INFOTECH PRIVATE LIMITED,Active
U36100TG2005PTC045428,VEEDA PACKAGING PRIVATE LIMITED,Active
U72900TG1998PTC029326,INDOSOFT INSTITUTE PRIVATE LIMITED,Active
U01122AP1997PLC026468,OM PRUTHVI GREEN RICH LIMITED,Active
U74999TG2005PTC047039,YV OVERSEAS EDUCATIONAL SERVICES PRIVATE LIMITED,Active
U45203AS1964SGC001222,ASSAM GOVT CONSTRUCTION CORPN LTD,Active
