CIN,Company Name,Status
U45209WB2021PTC243579,ACON INFRA PRIVATE LIMITED,Active
U73200MH2021PTC358386,IRONWORK INSIGHTS PRIVATE LIMITED,Active
U65999TG2021PTC150743,VIBHUTI INCUBE VENTURE CAPITAL PRIVATE LIMITED,Active
U74999TG2020PTC147310,FIVE39 MATRIMONIAL AND MATCHMAKING PRIVATE LIMITED,Active
U51909TZ2021OPC036038,THIRUVATHIRA FOODS (OPC) PRIVATE LIMITED,Active
U72900KA2021PTC146896,PAYSEROUTES TECHNOLOGIES PRIVATE LIMITED,Active
U15209MH2020PTC352823,O2 MILLS PRIVATE LIMITED,Active
U45309UR2020PTC011926,BUGYAL HOMES INDIA PRIVATE LIMITED,Active
U74999KA2019PTC120091,HOWDYBUDDY TECHNOLOGIES PRIVATE LIMITED,Active
U05000MH2019PTC319179,APAH FISHING PRIVATE LIMITED,Active
U74999MH2019PTC319270,LAGOM BUSINESS STRATEGISTS PRIVATE LIMITED,Active
U72501DL2019PTC344173,BANEKA LOGIC PRIVATE LIMITED,Active
U72900DL2019PTC344237,COMMUNITY ONE PRIVATE LIMITED,Active
U45201MH2019PTC319527,YG CONSTRUCTION PRIVATE LIMITED,Active
U74999UP2019PTC112472,PACEHOLLIC PRIVATE LIMITED,Active
U22300GJ2019OPC106172,POTRASHOT DIGITAL TECHNOLOGY (OPC) PRIVATE LIMITED,Active
U74999TN2018PTC120454,RRIBADA MOVIE MASTERS PRIVATE LIMITED,Active
U74999UP2019PTC112636,GOABROAD HAPPY TRAVELS PRIVATE LIMITED,Active
U74999MH2019OPC319924,RUGVED ADVISORY SERVICES (OPC) PRIVATE LIMITED,Active
U45309TZ2019PTC031575,YUVRAJ HOUSING PRIVATE LIMITED,Active
U74999UP2019PTC112766,YAJAMAHE VENTURES PRIVATE LIMITED,Active
U27100MP2019PTC047617,MUIROX INDIA PRIVATE LIMITED,Active
U01114MP2019OPC047612,NATAGRONICS FARMS (OPC) PRIVATE LIMITED,Active
