CIN,Company Name,Status
U72900OR2021PTC036277,IPREDICT RENEWABLES PRIVATE LIMITED,Active
U80903UP2021PTC145412,TRISHANT ACADEMY PRIVATE LIMITED,Active
U72900TN2021PTC141861,INAIPLE PRIVATE LIMITED,Active
U36990GJ2020PTC119239,ROSPAR JEWELLERY EXPORTS PRIVATE LIMITED,Active
U72900CT2021PTC011393,ITHILIEN TECHNOLOGIES PRIVATE LIMITED,Active
U74140HR2021PTC094230,AVI ADI ADVISORS PRIVATE LIMITED,Active
U51909TZ2020PTC035287,KANVEEN ENTERPRISES PRIVATE LIMITED,Active
U63000KL2020PTC066713,ROHINI INNOVATIONS AND SOLUTIONS PRIVATE LIMITED,Active
U80902KA2020PTC142803,CODEZI HEALTHCARE SOLUTIONS PRIVATE LIMITED,Active
U62200MH2020PTC352731,ASOTA CARGO PRIVATE LIMITED,Active
U93000KA2019PTC120071,SELDOM INTERIORS PRIVATE LIMITED,Active
U92410TZ2019PTC031482,VETRIVA SPORTS ACADEMY PRIVATE LIMITED,Active
U70200UP2019PTC112005,RAMBHASHREE REAL ESTATE PRIVATE LIMITED,Active
U74999KA2018PTC109291,CREIXER MARKETING PRIVATE LIMITED,Active
U24299GJ1977PTC003072,NANDESARI RASAYANEE PRIVATE LIMITED,Active
U15490AP2019PTC110204,SIRI ALMONDS PRIVATE LIMITED,Active
U18202WB2019PTC229756,CAZZKARO BRANDS PRIVATE LIMITED,Active
U37100RJ2018PTC059989,APAURUSHEYA ENTERPRISES PRIVATE LIMITED,Active
U74999MH2018PTC303890,MOOL URJA AND ENVIRONMENT PRIVATE LIMITED,Active
U72900KA2019PTC120374,WEVONIX INNOVATION PRIVATE LIMITED,Active
U45400KA2019PTC120354,OPES TERRAE INFRA VENTURES PRIVATE LIMITED,Active
U93090PN2018PTC177625,ZEALBIZ MEDIA AND MARKETING PRIVATE LIMITED,Active
U52310HR2019PTC077895,ZEN LIFE PHARMACIA PRIVATE LIMITED,Active
U74999TN2019PTC126938,VANSAN MOVIES PRIVATE LIMITED,Active
U45309GJ2019PTC106103,THC IMPACT VENTURES PRIVATE LIMITED,Active
U29299MH2018PTC311705,DWARIKADHEESH AUTOMOTIVE PRIVATE LIMITED,Active
U72900DL2018PTC328282,ANTRIEX IT SERVICES PRIVATE LIMITED,Active
U74999RJ2019OPC063676,MANGHRANI WARE HOUSE (OPC) PRIVATE LIMITED,Active
U74999MH2019PTC319795,GAUTAMVILLA ECOSTAYS PRIVATE LIMITED,Active
U24110KA2018PTC110829,INM NUVENT PAINTS PRIVATE LIMITED,Active
U65999KL2018PLC051694,SREEPADMANABHA NIDHI LIMITED,Active
U74999PB2019PTC048945,WESTONEL FARMSTAY PRIVATE LIMITED,Active
U51100WB2016PTC217555,DEFINITE TRADE INTERNATIONAL PRIVATE LIMITED,Active
U15130TN2019PTC127082,ANUGRAHA SPICES PRIVATE LIMITED,Active
U36990KA2019PTC120761,AIYON PRODUCTS PRIVATE LIMITED,Active
U80904KL2018PTC051741,EDCOR EDUCATIONAL INSTITUTION PRIVATE LIMITED,Active
U67190MH2018PTC311838,ARGON CAPITAL ADVISORS PRIVATE LIMITED,Active
U74999PN2019PTC181749,HUSTLERS ONLINE SERVICES PRIVATE LIMITED,Active
U74900DL2009PTC336506,KAY THREE ENTERPRISES PRIVATE LIMITED,Active
U20100WB2012PTC184148,ANISHS PROGRAMMING PRIVATE LIMITED,Active
U01100DL2018PTC328547,NUPUR POLYHOUSES FABRICATION AND INSTALLATIONS PRIVATE LIMITED,Active
U51909HR2019PTC078180,BIRDSNEST TRADING PRIVATE LIMITED,Active
U45403KA2019PTC120915,BNN PROJECTS PRIVATE LIMITED,Active
U67120MH2019FTC320358,SCLOWY ASSET RECONSTRUCTION PRIVATE LIMITED,Active
U29300DL2018PTC328545,DEVIANI FARM EQUIPMENT MANUFACTURERS PRIVATE LIMITED,Active
U74999GJ2019PTC106326,SYNDEO EXIM PRIVATE LIMITED,Active
U23209DL2018PTC328657,SDM LUBIMAX INDIA PRIVATE LIMITED,Active
U45309TG2018PTC121941,ZENOID INTERIOR & INFRA PROJECTS PRIVATE LIMITED,Active
U85300HR2019PTC078386,ALLERFREE HEALTHCARE PRIVATE LIMITED,Active
U74999MH2018PTC304482,AAUXILIUM MEDTEK PRIVATE LIMITED,Active
U18109UP2019PTC113496,UDYAAN DESIGNER STORE PRIVATE LIMITED,Active
U74990KA2019PTC121242,TRAVIS BICKLE PRIVATE LIMITED,Active
U52100UP2017PTC097230,KPDP BUSINESS SOLUTIONS PRIVATE LIMITED,Active
U74999MH2019PTC320920,THINK ARTZORB PRIVATE LIMITED,Active
U52609PN2019PTC185622,BEING HAPPY CLINIC PRIVATE LIMITED,Active
U70109TG2019PTC130544,ACRES INDIA PRIVATE LIMITED,Active
U63040RJ2019PTC063983,GHOOMLE TRAVEL SERVICES PRIVATE LIMITED,Active
U74999MH2018OPC304557,ARG ASSESSMENTS (OPC) PRIVATE LIMITED,Active
U74999TG2018PTC121985,SITARAM VISA CONSULTANTS PRIVATE LIMITED,Active
U74999KA2019PTC121659,SOFTGAMI TECHNOLOGIES PRIVATE LIMITED,Active
U29299UP2019PTC113895,SAMVAD HEARING SOLUTION PRIVATE LIMITED,Active
U72900HR2019PTC078749,AYSEA TECHNOLOGY AND SOFTWARE PRIVATE LIMITED,Active
U29305PN2019PTC182448,ADVIK TECHNO PRODUCTS PRIVATE LIMITED,Active
U80904PN2018PTC177743,QLEAP ACADEMY PRIVATE LIMITED,Active
U74999UP2019PTC114094,TAXBOXINDIA PRIVATE LIMITED,Active
U70100UP2019PTC114146,ROHINI PARADISE PRIVATE LIMITED,Active
U15549GJ2018PTC103307,HKN OIL INDUSTRIES PRIVATE LIMITED,Active
U24290UP2019PTC114195,EN-VITRO HEALTHCARE PRIVATE LIMITED,Active
U63032WB2018PTC224622,SHIBU AND AVISEK MONEY CHANGERS PRIVATE LIMITED,Active
U55101AP2019PTC111356,CHIRRAYANAM GAYATHRI HEAVENLY BEACH RESORTS PRIVATE LIMITED,Active
U27320GJ2019OPC106907,VOLFVEL CORROTECH (OPC) PRIVATE LIMITED,Active
U72900HR2019OPC078907,ALGORITHM BUSINESS INNOVATION (OPC) PRIVATE LIMITED,Active
U74999TN2019PTC127879,BHASKAY ENGINEERING CONSULTING AND CONTRACTING PRIVATE LIMITED,Active
U74999HR2019PTC078960,ACOMMUNE TECHNOLOGIES PRIVATE LIMITED,Active
U17299GJ2018PTC101793,SPECIFIC DENIM PRIVATE LIMITED,Active
U55209MH2019PTC322573,PHOENIX INFRA RESIDENCY PRIVATE LIMITED,Active
U24299PN2022PTC209484,SNEVIMED PHARMACEUTICAL PRIVATE LIMITED,Active
U72501HR2022PTC106384,RRIJU PRODSERV PRIVATE LIMITED,Active
U63022AP1995PTC021182,RANGARAJU AGROS PRIVATE LIMITED,Active
U29195TG1993PTC016206,SANGHI PACKAGING PVT LTD,Active
U01119TG1999PTC031042,VISWAM SEEDS PRIVATE LIMITED,Active
U80302TG2003PTC041886,JEEVAS EDUCATIONAL ACADEMY PRIVATE LIMITED,Active
U45201TZ2019PTC032063,SAMY PROJECTS PRIVATE LIMITED,Active
U72200TG1997PTC027954,VEDA INSTITUTE OF INFORMATION TECHNOLOGY PRIVATE LIMITED,Active
U65999TN2022PLN155167,VNB IBM NIDHI LIMITED,Active
U63090GJ2022PTC135285,A K MARITIME PRIVATE LIMITED,Active
U72400TG2004PTC044465,LORVIN COMPUTECH PRIVATE LIMITED,Active
U35999GJ1979PTC003354,CHIMERA HOLDINGS PRIVATE LIMITED,Active
U24231GJ1979PTC003542,PAMRAT CHEMICALS PRIVATE LIMITED,Active
U45200BR2001PTC009698,MEMAAR BUILDERS & EXPORTERS PRIVATE LIMITED,Active
U65910GJ1980PTC003833,AEROLITE INVESTMENT PVT LTD,Active
U65910GJ1980PTC003834,AGATE INVESTMENTS PVT LTD,Active
U54940GJ1992PTC018751,SUMAN TRADES PRIVATE LIMITED,Active
U45201GJ1995PTC026663,LAND MARK FINSTOCK PRIVATE LIMITED,Active
U27107ML1996PLC008270,SHREE SANYEEJI STEELS LTD,Active
U60300WB2022PTC257052,DEANGEL AUCTUS PRIVATE LIMITED,Active
U15311AS1975PTC001638,SIKARIA SONS PRIVATE LTD,Active
U70101AS1980PTC001858,D S KOTHARI PVT LTD,Active
U74999MH2022PTC390185,VARSHDEEP TECHNOLOGIES INDIA PRIVATE LIMITED,Active
U85300MH2022PTC390095,PW HEALTHCARE PRIVATE LIMITED,Active
U45202GJ2000PTC037311,SHANTI BUILD-WELL PRIVATE LIMITED,Active
U31100GJ1995PTC027305,BARODA FAB ENGINEERS PVT LTD,Active
U45201GJ1995PTC027863,PATEL CONSTRUCTION COMPANY PRIVATE LIMITED,Active
U29260GJ2005PTC045889,R M HEALDS PRIVATE LIMITED,Active
U26941GJ2004PTC043708,SHREE PARSHVANATH CEMENT PRIVATE LIMITED,Active
U51494GJ2005PTC046057,ADVENT TRADELINK PRIVATE LIMITED,Active
U15142GJ1991PTC016278,DURGA RICOL INDUSTRIES PRIVATE LIMITED,Active
U25199HR1999PTC034300,ATAM RUBBERS PRIVATE LIMITED,Active
U31300GJ1988PTC011317,POLYCOT CABLES PRIVATE LIMITED,Active
U01111HR1999PLC034107,JAGAT AGRICULTURE AND FOREST LTD,Active
U64120GJ2005PTC046493,SUBH EXPRESS COURIER PRIVATE LIMITED,Active
U51909GJ2003PLC042011,SPG CHEMICAL INDUSTRIES LIMITED,Active
U67120GJ2001PTC039274,TIRTHRAJ SECURITIES PRIVATE LIMITED,Active
U64120KA1996PTC019802,FREIGHT LINKS PRIVATE LIMITED,Active
U02812KA1988PTC020510,D' RANFLEX INDIA PRIVATE LIMITED,Active
U85110KA1993PTC014343,JOYERIA JEWELS INDIA PRIVATE LIMITED,Active
U30007KA1999PTC025678,EAITEC SOLUTIONS PRIVATE LIMITED,Active
U30007KA1998PTC023579,LAKE SYSTEMS PRIVATE LIMITED,Active
U72200KA2000PTC027982,ARCOT R AND D SOFTWARE PRIVATE LIMITED,Active
U72100KA1997PTC022476,OASYS SOFTWARE SOLUTIONS PRIVATE LIMITED,Active
U25209KA1996PLC020922,RATNA POLYPACK (INDIA) LIMITED,Active
U92411KA2005PTC037501,WHITE PEACOCK SPORTS PRIVATE LIMITED,Active
U65992KL1980PTC003252,KALINGA CHIT FUNDS PVT LTD,Active
U74999KA1983PTC005627,SAHYADRI ARECANUT COMPANY PRIVATE LIMITED,Active
U02221KA1987PTC008406,SHISHIRA PRINTS PRIVATE LIMITED,Active
U51900KA2022PTC166043,SLT LIFESCIENCE PRIVATE LIMITED,Active
U51506KA1988PTC009513,COMPUTER MARKETING AND ALLIED SERVICES PRIVATE LIMITED,Active
